model,layout,cot,zeroshot,diff,avg_mean_similarity,category
claude-3.5-sonnet,spectral,0.71,0.74,-0.03,0.72,layout
claude-3.5-sonnet,kamada,0.86,0.87,-0.01,0.86,layout
claude-3.5-sonnet,spring,0.87,0.88,-0.01,0.88,layout
claude-3.5-sonnet,shell,0.93,0.89,0.04,0.91,layout
claude-3.5-sonnet,circular,0.91,0.92,-0.01,0.92,layout
claude-3.5-sonnet,spiral,0.93,0.94,-0.01,0.94,layout
claude-3.5-sonnet,random,0.96,0.97,-0.01,0.96,layout
gemini-pro-1.5,spectral,0.72,0.72,0.0,0.72,layout
gemini-pro-1.5,spring,0.92,0.93,-0.01,0.92,layout
gemini-pro-1.5,kamada,0.93,0.93,0.0,0.93,layout
gemini-pro-1.5,circular,0.93,0.95,-0.02,0.94,layout
gemini-pro-1.5,shell,0.94,0.95,-0.01,0.94,layout
gemini-pro-1.5,spiral,0.94,0.94,0.0,0.94,layout
gemini-pro-1.5,random,0.96,0.94,0.02,0.95,layout
gpt-4o-2024-08-06,spectral,0.77,0.82,-0.05,0.8,layout
gpt-4o-2024-08-06,circular,0.87,0.77,0.1,0.82,layout
gpt-4o-2024-08-06,spiral,0.88,0.77,0.11,0.82,layout
gpt-4o-2024-08-06,shell,0.84,0.82,0.02,0.83,layout
gpt-4o-2024-08-06,random,0.84,0.86,-0.02,0.85,layout
gpt-4o-2024-08-06,kamada,0.9,0.94,-0.04,0.92,layout
gpt-4o-2024-08-06,spring,0.93,0.92,0.01,0.92,layout
llama-3.2-90b-vision-instruct,spectral,0.61,0.73,-0.12,0.67,layout
llama-3.2-90b-vision-instruct,spring,0.65,0.7,-0.05,0.68,layout
llama-3.2-90b-vision-instruct,random,0.66,0.74,-0.08,0.7,layout
llama-3.2-90b-vision-instruct,kamada,0.62,0.82,-0.2,0.72,layout
llama-3.2-90b-vision-instruct,spiral,0.89,0.78,0.11,0.84,layout
llama-3.2-90b-vision-instruct,circular,0.88,0.86,0.02,0.87,layout
llama-3.2-90b-vision-instruct,shell,0.9,0.92,-0.02,0.91,layout
pixtral-12b,spectral,0.71,0.72,-0.01,0.72,layout
pixtral-12b,shell,0.65,0.86,-0.21,0.76,layout
pixtral-12b,circular,0.76,0.86,-0.1,0.81,layout
pixtral-12b,spring,0.8,0.89,-0.09,0.84,layout
pixtral-12b,kamada,0.88,0.84,0.04,0.86,layout
pixtral-12b,spiral,0.86,0.86,0.0,0.86,layout
pixtral-12b,random,0.87,0.88,-0.01,0.88,layout
qwen-2-vl-72b-instruct,spiral,0.5,0.75,-0.25,0.62,layout
qwen-2-vl-72b-instruct,spectral,0.8,0.78,0.02,0.79,layout
qwen-2-vl-72b-instruct,circular,0.81,0.79,0.02,0.8,layout
qwen-2-vl-72b-instruct,shell,0.82,0.81,0.01,0.82,layout
qwen-2-vl-72b-instruct,kamada,0.87,0.87,0.0,0.87,layout
qwen-2-vl-72b-instruct,spring,0.85,0.89,-0.04,0.87,layout
qwen-2-vl-72b-instruct,random,0.86,0.89,-0.03,0.88,layout
claude-3.5-sonnet,undirected,0.94,0.91,0.03,0.92,arrow_type
claude-3.5-sonnet,directed,0.93,0.94,-0.01,0.94,arrow_type
gemini-pro-1.5,undirected,0.95,0.91,0.04,0.93,arrow_type
gemini-pro-1.5,directed,0.94,0.94,0.0,0.94,arrow_type
gpt-4o-2024-08-06,directed,0.88,0.77,0.11,0.82,arrow_type
gpt-4o-2024-08-06,undirected,0.89,0.81,0.08,0.85,arrow_type
llama-3.2-90b-vision-instruct,directed,0.89,0.78,0.11,0.84,arrow_type
llama-3.2-90b-vision-instruct,undirected,0.84,0.9,-0.06,0.87,arrow_type
pixtral-12b,undirected,0.81,0.85,-0.04,0.83,arrow_type
pixtral-12b,directed,0.86,0.86,0.0,0.86,arrow_type
qwen-2-vl-72b-instruct,directed,0.5,0.75,-0.25,0.62,arrow_type
qwen-2-vl-72b-instruct,undirected,0.69,0.68,0.01,0.68,arrow_type
claude-3.5-sonnet,label,0.95,0.92,0.03,0.94,label_type
claude-3.5-sonnet,unlabel,0.93,0.94,-0.01,0.94,label_type
gemini-pro-1.5,label,0.94,0.93,0.01,0.94,label_type
gemini-pro-1.5,unlabel,0.94,0.94,0.0,0.94,label_type
gpt-4o-2024-08-06,unlabel,0.88,0.77,0.11,0.82,label_type
gpt-4o-2024-08-06,label,0.92,0.91,0.01,0.92,label_type
llama-3.2-90b-vision-instruct,unlabel,0.89,0.78,0.11,0.84,label_type
llama-3.2-90b-vision-instruct,label,0.86,0.92,-0.06,0.89,label_type
pixtral-12b,unlabel,0.86,0.86,0.0,0.86,label_type
pixtral-12b,label,0.9,0.9,0.0,0.9,label_type
qwen-2-vl-72b-instruct,unlabel,0.5,0.75,-0.25,0.62,label_type
qwen-2-vl-72b-instruct,label,0.96,0.83,0.13,0.9,label_type
claude-3.5-sonnet,random_color,0.93,0.94,-0.01,0.94,color_type
claude-3.5-sonnet,constant_color,0.96,0.96,0.0,0.96,color_type
gemini-pro-1.5,random_color,0.94,0.94,0.0,0.94,color_type
gemini-pro-1.5,constant_color,0.94,0.96,-0.02,0.95,color_type
gpt-4o-2024-08-06,random_color,0.88,0.77,0.11,0.82,color_type
gpt-4o-2024-08-06,constant_color,0.93,0.89,0.04,0.91,color_type
llama-3.2-90b-vision-instruct,constant_color,0.46,0.92,-0.46,0.69,color_type
llama-3.2-90b-vision-instruct,random_color,0.89,0.78,0.11,0.84,color_type
pixtral-12b,random_color,0.86,0.86,0.0,0.86,color_type
pixtral-12b,constant_color,0.89,0.89,0.0,0.89,color_type
qwen-2-vl-72b-instruct,random_color,0.5,0.75,-0.25,0.62,color_type
qwen-2-vl-72b-instruct,constant_color,0.83,0.86,-0.03,0.84,color_type
