type_arrow,layout,type_label,type_color,model,prompt_strategy,mean_mae,mean_similarity
directed,spiral,unlabel,random_color,claude-3.5-sonnet,cot,0.8327507215007216,0.9316787088040958
directed,spiral,unlabel,random_color,claude-3.5-sonnet,zeroshot,0.8013762626262626,0.935928305612516
directed,spiral,unlabel,random_color,qwen-2-vl-72b-instruct,cot,0.5124440836940837,0.4970346722421025
directed,spiral,unlabel,random_color,qwen-2-vl-72b-instruct,zeroshot,0.4151298701298701,0.7468769070626655
directed,spiral,unlabel,random_color,gemini-pro-1.5,cot,0.8028535353535353,0.9396368193210298
directed,spiral,unlabel,random_color,gemini-pro-1.5,zeroshot,0.8052344877344879,0.941528976183775
directed,spiral,unlabel,random_color,gpt-4o-2024-08-06,cot,0.6622853535353536,0.8750198602567023
directed,spiral,unlabel,random_color,gpt-4o-2024-08-06,zeroshot,0.44551767676767673,0.7668566112250323
directed,spiral,unlabel,random_color,pixtral-12b,cot,0.7172041847041847,0.8581738057264372
directed,spiral,unlabel,random_color,pixtral-12b,zeroshot,0.6891143578643579,0.8602200242138324
directed,spiral,unlabel,random_color,llama-3.2-90b-vision-instruct,cot,0.6851190476190476,0.8759727817761872
directed,spiral,unlabel,random_color,llama-3.2-90b-vision-instruct,zeroshot,0.6903174603174602,0.8506009028810887
directed,spiral,unlabel,constant_color,claude-3.5-sonnet,cot,0.9120448995448995,0.9589018964669288
directed,spiral,unlabel,constant_color,claude-3.5-sonnet,zeroshot,0.9013150738150738,0.9554718484223633
directed,spiral,unlabel,constant_color,qwen-2-vl-72b-instruct,cot,0.7013336663336663,0.8259619625562216
directed,spiral,unlabel,constant_color,qwen-2-vl-72b-instruct,zeroshot,0.7313142413142415,0.8576922912473626
directed,spiral,unlabel,constant_color,gemini-pro-1.5,cot,0.8628416028416028,0.9438902677335678
directed,spiral,unlabel,constant_color,gemini-pro-1.5,zeroshot,0.8834981684981686,0.9565343780092569
directed,spiral,unlabel,constant_color,gpt-4o-2024-08-06,cot,0.8360986235986237,0.9305324283223395
directed,spiral,unlabel,constant_color,gpt-4o-2024-08-06,zeroshot,0.7332017982017982,0.8885690197091464
directed,spiral,unlabel,constant_color,pixtral-12b,cot,0.8050382950382948,0.8949234950056899
directed,spiral,unlabel,constant_color,pixtral-12b,zeroshot,0.7825208125208125,0.8934038076833202
directed,spiral,unlabel,constant_color,llama-3.2-90b-vision-instruct,cot,0.7431487956487957,0.8310861087806167
directed,spiral,unlabel,constant_color,llama-3.2-90b-vision-instruct,zeroshot,0.8042363192363192,0.9089361848218187
directed,spiral,label,random_color,claude-3.5-sonnet,cot,0.8737698412698413,0.9486528158374135
directed,spiral,label,random_color,claude-3.5-sonnet,zeroshot,0.8095021645021646,0.9195823030169006
directed,spiral,label,random_color,qwen-2-vl-72b-instruct,cot,0.9015656565656567,0.962189641498852
directed,spiral,label,random_color,qwen-2-vl-72b-instruct,zeroshot,0.6356132756132757,0.8323762196266067
directed,spiral,label,random_color,gemini-pro-1.5,cot,0.8434126984126984,0.9384758604398697
directed,spiral,label,random_color,gemini-pro-1.5,zeroshot,0.8309126984126983,0.9316576786216879
directed,spiral,label,random_color,gpt-4o-2024-08-06,cot,0.8126010101010103,0.9190929027113238
directed,spiral,label,random_color,gpt-4o-2024-08-06,zeroshot,0.7394227994227995,0.9149059325607313
directed,spiral,label,random_color,pixtral-12b,cot,0.7875937950937951,0.9066927519075353
directed,spiral,label,random_color,pixtral-12b,zeroshot,0.7733116883116884,0.900646277741866
directed,spiral,label,random_color,llama-3.2-90b-vision-instruct,cot,0.6808838383838383,0.8592572778099093
