num_nodes,type_match,model,prompt_strategy,mean_accuracy
6,unmatch,claude-3.5-sonnet,cot,0.8
6,unmatch,claude-3.5-sonnet,zeroshot,0.8
6,unmatch,qwen-2-vl-72b-instruct,cot,1.0
6,unmatch,qwen-2-vl-72b-instruct,zeroshot,1.0
6,unmatch,gemini-pro-1.5,cot,0.6
6,unmatch,gemini-pro-1.5,zeroshot,0.6
6,unmatch,gpt-4o-2024-08-06,cot,0.7
6,unmatch,gpt-4o-2024-08-06,zeroshot,0.6
6,unmatch,pixtral-12b,cot,1.0
6,unmatch,pixtral-12b,zeroshot,1.0
6,unmatch,llama-3.2-90b-vision-instruct,cot,1.0
6,unmatch,llama-3.2-90b-vision-instruct,zeroshot,0.8
6,match,claude-3.5-sonnet,cot,0.9
6,match,claude-3.5-sonnet,zeroshot,0.9
6,match,qwen-2-vl-72b-instruct,cot,0.2
6,match,qwen-2-vl-72b-instruct,zeroshot,0.0
6,match,gemini-pro-1.5,cot,0.7
6,match,gemini-pro-1.5,zeroshot,0.7
6,match,gpt-4o-2024-08-06,cot,0.8
6,match,gpt-4o-2024-08-06,zeroshot,1.0
6,match,pixtral-12b,cot,0.0
6,match,pixtral-12b,zeroshot,0.0
6,match,llama-3.2-90b-vision-instruct,cot,0.3
6,match,llama-3.2-90b-vision-instruct,zeroshot,0.1
4,unmatch,claude-3.5-sonnet,cot,1.0
4,unmatch,claude-3.5-sonnet,zeroshot,1.0
4,unmatch,qwen-2-vl-72b-instruct,cot,0.8
4,unmatch,qwen-2-vl-72b-instruct,zeroshot,0.9
4,unmatch,gemini-pro-1.5,cot,0.8
4,unmatch,gemini-pro-1.5,zeroshot,0.9
4,unmatch,gpt-4o-2024-08-06,cot,0.9
4,unmatch,gpt-4o-2024-08-06,zeroshot,0.8
4,unmatch,pixtral-12b,cot,1.0
4,unmatch,pixtral-12b,zeroshot,1.0
4,unmatch,llama-3.2-90b-vision-instruct,cot,0.9
4,unmatch,llama-3.2-90b-vision-instruct,zeroshot,0.4
4,match,claude-3.5-sonnet,cot,0.4
4,match,claude-3.5-sonnet,zeroshot,0.5
4,match,qwen-2-vl-72b-instruct,cot,0.0
4,match,qwen-2-vl-72b-instruct,zeroshot,0.0
4,match,gemini-pro-1.5,cot,0.5
4,match,gemini-pro-1.5,zeroshot,0.3
4,match,gpt-4o-2024-08-06,cot,0.6
4,match,gpt-4o-2024-08-06,zeroshot,0.8
4,match,pixtral-12b,cot,0.0
4,match,pixtral-12b,zeroshot,0.0
4,match,llama-3.2-90b-vision-instruct,cot,0.3
4,match,llama-3.2-90b-vision-instruct,zeroshot,0.1
5,unmatch,claude-3.5-sonnet,cot,0.8
5,unmatch,claude-3.5-sonnet,zeroshot,0.8
5,unmatch,qwen-2-vl-72b-instruct,cot,1.0
5,unmatch,qwen-2-vl-72b-instruct,zeroshot,0.9
5,unmatch,gemini-pro-1.5,cot,0.6
5,unmatch,gemini-pro-1.5,zeroshot,0.7
5,unmatch,gpt-4o-2024-08-06,cot,0.5
5,unmatch,gpt-4o-2024-08-06,zeroshot,0.5
5,unmatch,pixtral-12b,cot,1.0
5,unmatch,pixtral-12b,zeroshot,1.0
5,unmatch,llama-3.2-90b-vision-instruct,cot,1.0
5,unmatch,llama-3.2-90b-vision-instruct,zeroshot,0.9
5,match,claude-3.5-sonnet,cot,0.4
5,match,claude-3.5-sonnet,zeroshot,0.5
5,match,qwen-2-vl-72b-instruct,cot,0.2
5,match,qwen-2-vl-72b-instruct,zeroshot,0.1
5,match,gemini-pro-1.5,cot,0.5
5,match,gemini-pro-1.5,zeroshot,0.5
5,match,gpt-4o-2024-08-06,cot,0.6
5,match,gpt-4o-2024-08-06,zeroshot,0.7
5,match,pixtral-12b,cot,0.0
5,match,pixtral-12b,zeroshot,0.0
5,match,llama-3.2-90b-vision-instruct,cot,0.3
5,match,llama-3.2-90b-vision-instruct,zeroshot,0.2
