num_node,model,prompt_strategy,mean_accuracy
30,claude-3.5-sonnet,cot,0.4
30,claude-3.5-sonnet,zeroshot,0.3
30,qwen-2-vl-72b-instruct,cot,0.1
30,qwen-2-vl-72b-instruct,zeroshot,0.2
30,gemini-pro-1.5,cot,0.7
30,gemini-pro-1.5,zeroshot,0.6
30,gpt-4o-2024-08-06,cot,0.5
30,gpt-4o-2024-08-06,zeroshot,0.5
30,pixtral-12b,cot,0.3
30,pixtral-12b,zeroshot,0.3
30,llama-3.2-90b-vision-instruct,cot,0.3
30,llama-3.2-90b-vision-instruct,zeroshot,0.3
20,claude-3.5-sonnet,cot,1.0
20,claude-3.5-sonnet,zeroshot,1.0
20,qwen-2-vl-72b-instruct,cot,0.6
20,qwen-2-vl-72b-instruct,zeroshot,0.5
20,gemini-pro-1.5,cot,1.0
20,gemini-pro-1.5,zeroshot,1.0
20,gpt-4o-2024-08-06,cot,0.7
20,gpt-4o-2024-08-06,zeroshot,0.8
20,pixtral-12b,cot,0.6
20,pixtral-12b,zeroshot,0.8
20,llama-3.2-90b-vision-instruct,cot,0.3
20,llama-3.2-90b-vision-instruct,zeroshot,0.3
10,claude-3.5-sonnet,cot,1.0
10,claude-3.5-sonnet,zeroshot,1.0
10,qwen-2-vl-72b-instruct,cot,0.6
10,qwen-2-vl-72b-instruct,zeroshot,0.5
10,gemini-pro-1.5,cot,1.0
10,gemini-pro-1.5,zeroshot,0.9
10,gpt-4o-2024-08-06,cot,1.0
10,gpt-4o-2024-08-06,zeroshot,1.0
10,pixtral-12b,cot,0.5
10,pixtral-12b,zeroshot,0.6
10,llama-3.2-90b-vision-instruct,cot,0.5
10,llama-3.2-90b-vision-instruct,zeroshot,0.5
